id,saran,casefolding,cleanedtext,stopwordremoved,stemmingtext,tokenize
1,Lewis Hamilton. â Ferrari. https://t.co/5vrvD8zFk9,lewis hamilton. â ferrari. https://t.co/5vrvd8zfk9,lewis hamilton  â ferrari,lewis hamilton â ferrari,lewis hamilton ferrari,"['lewis', 'hamilton', 'ferrari']"
2,@f1speed_indo Apa cuma aku yg ngerasa sejak Cak Lewis ttd kontrak Ferrari makin ganteng begini wak? Pesonanya lo rek woylah @speedingjunkie,@f1speed_indo apa cuma aku yg ngerasa sejak cak lewis ttd kontrak ferrari makin ganteng begini wak? pesonanya lo rek woylah @speedingjunkie,apa cuma aku yg ngerasa sejak cak lewis ttd kontrak ferrari makin ganteng begini wak  pesonanya lo rek woylah,ngerasa cak lewis ttd kontrak ferrari ganteng wak pesonanya lo rek woylah,ngerasa cak lewis ttd kontrak ferrari ganteng wak pesona lo rek woylah,"['ngerasa', 'cak', 'lewis', 'ttd', 'kontrak', 'ferrari', 'ganteng', 'wak', 'pesona', 'lo', 'rek', 'woylah']"
3,@bobaiato Line up Ferrari 2025 lewis sm charles jadi carlos cari kerja di team lain Banyak rumor mau ke audi/rbr tapi ya belom jelassszzzzz,@bobaiato line up ferrari 2025 lewis sm charles jadi carlos cari kerja di team lain banyak rumor mau ke audi/rbr tapi ya belom jelassszzzzz,line up ferrari  lewis sm charles jadi carlos cari kerja di team lain banyak rumor mau ke audi rbr tapi ya belom jelassszzzzz,line up ferrari lewis sm charles carlos cari kerja team rumor audi rbr belom jelassszzzzz,line up ferrari lewis sm charles carlos cari kerja team rumor audi rbr bom jelassszzzzz,"['line', 'up', 'ferrari', 'lewis', 'sm', 'charles', 'carlos', 'cari', 'kerja', 'team', 'rumor', 'audi', 'rbr', 'bom', 'jelassszzzzz']"
4,Adrian Newey ini kalo emang bener pindah ke Ferrari yakin sih Lewis Hamilton bakal joss lagi,adrian newey ini kalo emang bener pindah ke ferrari yakin sih lewis hamilton bakal joss lagi,adrian newey ini kalo emang bener pindah ke ferrari yakin sih lewis hamilton bakal joss lagi,adrian newey emang bener pindah ferrari lewis hamilton joss,adrian newey emang bener pindah ferrari lewis hamilton joss,"['adrian', 'newey', 'emang', 'bener', 'pindah', 'ferrari', 'lewis', 'hamilton', 'joss']"
5,Adrian Newey ni tua2 Pon laku ea semua F1 team berebut nk dapatkan..pegi Ferrari jela bergabung dgn Lewis Hamilton ,adrian newey ni tua2 pon laku ea semua f1 team berebut nk dapatkan..pegi ferrari jela bergabung dgn lewis hamilton ,adrian newey ni tua pon laku ea semua f team berebut nk dapatkan  pegi ferrari jela bergabung dgn lewis hamilton,adrian newey ni tua pon laku ea f team berebut nk dapatkan pegi ferrari jela bergabung lewis hamilton,adrian newey ni tua pon laku ea f team rebut nk dapat pegi ferrari jela gabung lewis hamilton,"['adrian', 'newey', 'ni', 'tua', 'pon', 'laku', 'ea', 'f', 'team', 'rebut', 'nk', 'dapat', 'pegi', 'ferrari', 'jela', 'gabung', 'lewis', 'hamilton']"
6,Lewis Hamilton en Adrian Newey samen bij Ferrari? #F1 https://t.co/7qU5731Mm5,lewis hamilton en adrian newey samen bij ferrari? #f1 https://t.co/7qu5731mm5,lewis hamilton en adrian newey samen bij ferrari   f,lewis hamilton en adrian newey samen bij ferrari f,lewis hamilton en adrian newey samen bij ferrari f,"['lewis', 'hamilton', 'en', 'adrian', 'newey', 'samen', 'bij', 'ferrari', 'f']"
7,Lewis https://t.co/G5GDp0aCVA https://t.co/4MpAKZQnBu,lewis https://t.co/g5gdp0acva https://t.co/4mpakzqnbu,lewis,lewis,lewis,['lewis']
8,Mercedes? Kompetitif? YANG BENER AJA CHILI Lewis aja pindah ke Ferrari pls â,mercedes? kompetitif? yang bener aja chili lewis aja pindah ke ferrari pls â,mercedes  kompetitif  yang bener aja chili lewis aja pindah ke ferrari pls â,mercedes kompetitif bener chili lewis pindah ferrari pls â,mercedes kompetitif bener chili lewis pindah ferrari pls,"['mercedes', 'kompetitif', 'bener', 'chili', 'lewis', 'pindah', 'ferrari', 'pls']"
9,Lewis in Ferrari (2025),lewis in ferrari (2025),lewis in ferrari,lewis in ferrari,lewis in ferrari,"['lewis', 'in', 'ferrari']"
10,Lewis Hamilton in Ferrari colors https://t.co/RcbNLmEBHQ,lewis hamilton in ferrari colors https://t.co/rcbnlmebhq,lewis hamilton in ferrari colors,lewis hamilton in ferrari colors,lewis hamilton in ferrari colors,"['lewis', 'hamilton', 'in', 'ferrari', 'colors']"
11,ferrari bisa bertiga aja gasi drivernya cÂ² + lewis gitu...,ferrari bisa bertiga aja gasi drivernya câ² + lewis gitu...,ferrari bisa bertiga aja gasi drivernya câ² + lewis gitu,ferrari bertiga gasi drivernya câ² + lewis gitu,ferrari tiga gas drivernya c lewis gitu,"['ferrari', 'tiga', 'gas', 'drivernya', 'c', 'lewis', 'gitu']"
12,@AsepWitoko Tenang.. gak telat kok.. tahun depan kan lewis Hamilton juga pindah ke Ferrari.. jadi klop lah.. lewis juga menang pas newey ada di McLaren kan?,@asepwitoko tenang.. gak telat kok.. tahun depan kan lewis hamilton juga pindah ke ferrari.. jadi klop lah.. lewis juga menang pas newey ada di mclaren kan?,tenang   gak telat kok   tahun depan kan lewis hamilton juga pindah ke ferrari   jadi klop lah   lewis juga menang pas newey ada di mclaren kan,tenang gak telat lewis hamilton pindah ferrari klop lewis menang pas newey mclaren,tenang gak telat lewis hamilton pindah ferrari klop lewis menang pas newey mclaren,"['tenang', 'gak', 'telat', 'lewis', 'hamilton', 'pindah', 'ferrari', 'klop', 'lewis', 'menang', 'pas', 'newey', 'mclaren']"
13,POV: Lewis pindah ke Ferrari,pov: lewis pindah ke ferrari,pov  lewis pindah ke ferrari,pov lewis pindah ferrari,pov lewis pindah ferrari,"['pov', 'lewis', 'pindah', 'ferrari']"
14,Ferrari - Sir Lewis Hamilton - Adrian Newey --&gt; make it happen @ScuderiaFerrari,ferrari - sir lewis hamilton - adrian newey --&gt; make it happen @scuderiaferrari,ferrari   sir lewis hamilton   adrian newey    gt  make it happen,ferrari sir lewis hamilton adrian newey gt make it happen,ferrari sir lewis hamilton adrian newey gt make it happen,"['ferrari', 'sir', 'lewis', 'hamilton', 'adrian', 'newey', 'gt', 'make', 'it', 'happen']"
15,apakah ferrari akan jadi tim terakhir lewis hamilton mampukah dia kembali ke kejayaan atau segera pensiun,apakah ferrari akan jadi tim terakhir lewis hamilton mampukah dia kembali ke kejayaan atau segera pensiun,apakah ferrari akan jadi tim terakhir lewis hamilton mampukah dia kembali ke kejayaan atau segera pensiun,ferrari tim lewis hamilton kejayaan pensiun,ferrari tim lewis hamilton jaya pensiun,"['ferrari', 'tim', 'lewis', 'hamilton', 'jaya', 'pensiun']"
16,Waw... waw... waw. Ke ferrari plis mister. Yuk bisa yuk. kerja bareng sama sang lejen lewis hamilton dan wujudkan rekor terbaru 8 x juara grandp prix f1.. plis mister. Imejin mastermindnya lejen supirnya lejen mobilnya lejen...,waw... waw... waw. ke ferrari plis mister. yuk bisa yuk. kerja bareng sama sang lejen lewis hamilton dan wujudkan rekor terbaru 8 x juara grandp prix f1.. plis mister. imejin mastermindnya lejen supirnya lejen mobilnya lejen...,waw    waw    waw  ke ferrari plis mister  yuk bisa yuk  kerja bareng sama sang lejen lewis hamilton dan wujudkan rekor terbaru  x juara grandp prix f   plis mister  imejin mastermindnya lejen supirnya lejen mobilnya lejen,waw waw waw ferrari plis mister yuk yuk kerja bareng sang lejen lewis hamilton wujudkan rekor terbaru x juara grandp prix f plis mister imejin mastermindnya lejen supirnya lejen mobilnya lejen,waw waw waw ferrari plis mister yuk yuk kerja bareng sang lejen lewis hamilton wujud rekor baru x juara grandp prix f plis mister imejin mastermindnya lejen supirnya lejen mobil lejen,"['waw', 'waw', 'waw', 'ferrari', 'plis', 'mister', 'yuk', 'yuk', 'kerja', 'bareng', 'sang', 'lejen', 'lewis', 'hamilton', 'wujud', 'rekor', 'baru', 'x', 'juara', 'grandp', 'prix', 'f', 'plis', 'mister', 'imejin', 'mastermindnya', 'lejen', 'supirnya', 'lejen', 'mobil', 'lejen']"
17,lewis hamilton pas pindah ke ferrari:,lewis hamilton pas pindah ke ferrari:,lewis hamilton pas pindah ke ferrari,lewis hamilton pas pindah ferrari,lewis hamilton pas pindah ferrari,"['lewis', 'hamilton', 'pas', 'pindah', 'ferrari']"
18,yok bisa yok next season diundang Lewis nonton Ferrari ï¸ï¸,yok bisa yok next season diundang lewis nonton ferrari ï¸ï¸,yok bisa yok next season diundang lewis nonton ferrari ï¸ï¸,yok yok next season diundang lewis nonton ferrari ï¸ï¸,yok yok next season undang lewis nonton ferrari,"['yok', 'yok', 'next', 'season', 'undang', 'lewis', 'nonton', 'ferrari']"
19,Adrian Newey heading to Ferrari w/ Lewis Hamilton https://t.co/MgNzeI7Bpg,adrian newey heading to ferrari w/ lewis hamilton https://t.co/mgnzei7bpg,adrian newey heading to ferrari w  lewis hamilton,adrian newey heading to ferrari w lewis hamilton,adrian newey heading to ferrari w lewis hamilton,"['adrian', 'newey', 'heading', 'to', 'ferrari', 'w', 'lewis', 'hamilton']"
